construction,t_requested,t_effective,eval_s,prove_s,proof_bytes,verified
Pietrzak,1024,1024,0.209920,0.239891,2568,true
Wesolowski,1024,1024,0.229153,0.224657,256,true
SNARK-SHA256,1024,1024,0.000070,0.336504,698,true
Pietrzak,8192,8192,1.695081,1.642120,3336,true
Wesolowski,8192,8192,1.614805,1.651380,256,true
SNARK-SHA256,8192,8192,0.000428,2.564745,698,true
Pietrzak,32768,32768,6.582257,6.524442,3848,true
Wesolowski,32768,32768,6.535214,6.602705,256,true
SNARK-SHA256,32768,32768,0.001732,10.031509,698,true
Pietrzak,262144,262144,52.151971,52.426098,4616,true
Wesolowski,262144,262144,56.258350,53.135576,256,true
SNARK-SHA256,262144,262144,0.013914,81.405632,698,true
Pietrzak,1048576,1048576,208.732127,222.549854,5128,true
Wesolowski,1048576,1048576,213.826310,214.210671,256,true
SNARK-SHA256,1048576,1048576,0.055332,328.493281,698,true
